Time (Sec),Power(W),Growth Rate (gm/sec),No. of net impurity atoms added,Number of net impurity of previous crystal added,Output net impurity,Detector grade portion (%),SheetName
0.0,8720.0,0.0,35338345864662.0,342968609022556.0,474341395671.947,38.0,Crystal 1
900.0,8700.0,0.0911111111111111,35338345864662.0,342968609022556.0,474376733171.114,38.0,Crystal 1
1350.0,8700.0,0.0540740740740741,35338345864662.0,342968609022556.0,473088507038.818,38.0,Crystal 1
2880.0,8680.0,0.0152777777777778,35338345864662.0,342968609022556.0,472313621844.032,38.0,Crystal 1
3600.0,8660.0,0.0119444444444444,35338345864662.0,342968609022556.0,471557493772.155,38.0,Crystal 1
4320.0,8640.0,0.018287037037037,35338345864662.0,342968609022556.0,470171275664.936,38.0,Crystal 1
5040.0,8620.0,0.0279761904761905,35338345864662.0,342968609022556.0,467706598962.508,38.0,Crystal 1
5760.0,8600.0,0.0319444444444444,35338345864662.0,342968609022556.0,464508439654.00300,38.0,Crystal 1
6480.0,8580.0,0.0472222222222222,35338345864662.0,342968609022556.0,459234977096.626,38.0,Crystal 1
7200.0,8560.0,0.0765277777777778,35338345864662.0,342968609022556.0,449880102990.085,38.0,Crystal 1
8928.0,8560.0,0.329189068100358,35338345864662.0,342968609022556.0,402917891567.958,38.0,Crystal 1
10080.0,8560.0,0.416666666666667,35338345864662.0,342968609022556.0,343706166482.501,38.0,Crystal 1
10800.0,8560.0,0.407407407407407,35338345864662.0,342968609022556.0,290463757073.587,38.0,Crystal 1
12960.0,8660.0,2.34567901234568,35338345864662.0,342968609022556.0,86055728616.3952,38.0,Crystal 1
13464.0,8700.0,0.935828877005348,35338345864662.0,342968609022556.0,50447624802.5353,38.0,Crystal 1
15120.0,8700.0,3.12169312169312,35338345864662.0,342968609022556.0,-50316716822.1794,38.0,Crystal 1
15984.0,8700.0,1.55155155155155,35338345864662.0,342968609022556.0,-58659136419.833,38.0,Crystal 1
16560.0,8700.0,0.89975845410628,35338345864662.0,342968609022556.0,-64750416445.3852,38.0,Crystal 1
18000.0,8700.0,2.0,35338345864662.0,342968609022556.0,-145650309480.594,38.0,Crystal 1
18720.0,8700.0,0.822649572649573,35338345864662.0,342968609022556.0,-243129931967.45,38.0,Crystal 1
19440.0,8700.0,0.601851851851852,35338345864662.0,342968609022556.0,-367953435927.54700,38.0,Crystal 1
20160.0,8700.0,0.694444444444444,35338345864662.0,342968609022556.0,-624030406450.012,38.0,Crystal 1
21600.0,8700.0,0.925925925925926,35338345864662.0,342968609022556.0,-663658661762.694,38.0,Crystal 1
23040.0,8700.0,0.737847222222222,35338345864662.0,342968609022556.0,-724308337092.087,38.0,Crystal 1
24048.0,8700.0,0.461576846307385,35338345864662.0,342968609022556.0,-771031255447.431,38.0,Crystal 1
26582.4,9404.0,1.24142289635247,35338345864662.0,342968609022556.0,-960470944722.653,38.0,Crystal 1
29232.0,9500.0,2.03544061302682,35338345864662.0,342968609022556.0,-1851074951815.82,38.0,Crystal 1
0.0,8780.0,0.0,761278195488722.0,0.0,822618543394.834,9.0,Crystal 2
252.0,8720.0,0.130952380952381,761278195488722.0,0.0,823204637900.853,9.0,Crystal 2
450.0,8700.0,0.126666666666667,761278195488722.0,0.0,824217853888.044,9.0,Crystal 2
900.0,8680.0,0.0788888888888888,761278195488722.0,0.0,825481474210.089,9.0,Crystal 2
1350.0,8660.0,0.0577777777777778,761278195488722.0,0.0,826871653929.177,9.0,Crystal 2
2880.0,8640.0,0.0295138888888889,761278195488722.0,0.0,828388953411.424,9.0,Crystal 2
3600.0,8620.0,0.0233333333333333,761278195488722.0,0.0,829890823754.472,9.0,Crystal 2
4320.0,8600.0,0.0469907407407407,761278195488722.0,0.0,830302470382.934,9.0,Crystal 2
5760.0,8600.0,0.102777777777778,761278195488722.0,0.0,819764407911.806,9.0,Crystal 2
6480.0,8600.0,0.0938271604938272,761278195488722.0,0.0,809064972963.91,9.0,Crystal 2
7200.0,8600.0,0.140277777777778,761278195488722.0,0.0,791564354237.109,9.0,Crystal 2
