Time (Sec),Power(W),Growth Rate (gm/sec),No. of net impurity atoms added,Number of net impurity of previous crystal added,Output net impurity,Detector grade portion (%),SheetName
0.0,8720.0,0.0,35338345864662.0,342968609022556.0,4.743e+11,38.0,Crystal 1
900.0,8700.0,0.0911111111111111,35338345864662.0,342968609022556.0,4.744e+11,38.0,Crystal 1
1350.0,8700.0,0.0540740740740741,35338345864662.0,342968609022556.0,4.731e+11,38.0,Crystal 1
2880.0,8680.0,0.0152777777777778,35338345864662.0,342968609022556.0,4.723e+11,38.0,Crystal 1
3600.0,8660.0,0.0119444444444444,35338345864662.0,342968609022556.0,4.716e+11,38.0,Crystal 1
4320.0,8640.0,0.018287037037037,35338345864662.0,342968609022556.0,4.702e+11,38.0,Crystal 1
5040.0,8620.0,0.0279761904761905,35338345864662.0,342968609022556.0,4.677e+11,38.0,Crystal 1
5760.0,8600.0,0.0319444444444444,35338345864662.0,342968609022556.0,4.645e+11,38.0,Crystal 1
6480.0,8580.0,0.0472222222222222,35338345864662.0,342968609022556.0,4.592e+11,38.0,Crystal 1
7200.0,8560.0,0.0765277777777778,35338345864662.0,342968609022556.0,4.499e+11,38.0,Crystal 1
8928.0,8560.0,0.329189068100358,35338345864662.0,342968609022556.0,4.029e+11,38.0,Crystal 1
10080.0,8560.0,0.416666666666667,35338345864662.0,342968609022556.0,3.437e+11,38.0,Crystal 1
10800.0,8560.0,0.407407407407407,35338345864662.0,342968609022556.0,2.905e+11,38.0,Crystal 1
12960.0,8660.0,2.34567901234568,35338345864662.0,342968609022556.0,8.606e+10,38.0,Crystal 1
13464.0,8700.0,0.935828877005348,35338345864662.0,342968609022556.0,5.045e+10,38.0,Crystal 1
15120.0,8700.0,3.12169312169312,35338345864662.0,342968609022556.0,-5.032e+10,38.0,Crystal 1
15984.0,8700.0,1.55155155155155,35338345864662.0,342968609022556.0,-5.866e+10,38.0,Crystal 1
16560.0,8700.0,0.89975845410628,35338345864662.0,342968609022556.0,-6.475e+10,38.0,Crystal 1
18000.0,8700.0,2.0,35338345864662.0,342968609022556.0,-1.457e+11,38.0,Crystal 1
18720.0,8700.0,0.822649572649573,35338345864662.0,342968609022556.0,-2.431e+11,38.0,Crystal 1
19440.0,8700.0,0.601851851851852,35338345864662.0,342968609022556.0,-3.680e+11,38.0,Crystal 1
20160.0,8700.0,0.694444444444444,35338345864662.0,342968609022556.0,-6.240e+11,38.0,Crystal 1
21600.0,8700.0,0.925925925925926,35338345864662.0,342968609022556.0,-6.637e+11,38.0,Crystal 1
23040.0,8700.0,0.737847222222222,35338345864662.0,342968609022556.0,-7.243e+11,38.0,Crystal 1
24048.0,8700.0,0.461576846307385,35338345864662.0,342968609022556.0,-7.710e+11,38.0,Crystal 1
26582.4,9404.0,1.24142289635247,35338345864662.0,342968609022556.0,-9.605e+11,38.0,Crystal 1
29232.0,9500.0,2.03544061302682,35338345864662.0,342968609022556.0,-1.851e+12,38.0,Crystal 1
0.0,8780.0,0.0,761278195488722.0,0.0,8.226e+11,9.0,Crystal 2
252.0,8720.0,0.130952380952381,761278195488722.0,0.0,8.232e+11,9.0,Crystal 2
450.0,8700.0,0.126666666666667,761278195488722.0,0.0,8.242e+11,9.0,Crystal 2
900.0,8680.0,0.0788888888888888,761278195488722.0,0.0,8.255e+11,9.0,Crystal 2
